tool,headless_invocation,when_to_use,gotcha
blender,"blender -b scene.blend --python-exit-code 1 -P script.py -- <args>","Polygonal/organic modeling, UV unwrap, baking, rendering (Cycles), rigging, animation, glTF/FBX/USD export, simulation bake","Use CYCLES not EEVEE Next (EEVEE headless broken on Windows). The -- separator is MANDATORY. Use absolute forward-slash paths in render.filepath. Call python not python3."
openscad,"openscad.com -o out.stl src.scad","Parametric/mechanical parts, precise tolerances, CSG boolean logic, STL for 3D print, SVG profiles. Code-driven geometry with no GUI.","Call openscad.com (console binary) NOT openscad.exe. The .com binary suppresses the GUI. Use absolute paths. Pass -D for parameter overrides: -D wall=3"
cadquery,"python cq_script.py  (cadquery module import)","CadQuery/build123d: Python-native parametric CAD; complex fillets, threads, assemblies. Cleaner Python API than OpenSCAD. Export to STEP or STL.","Requires pip install cadquery or build123d. Not stdlib. cadquery version pin: >=2.4. Export: cq.exporters.export(shape, path) for STEP or STL."
freecad,"FreeCADCmd.exe script.py","STEP -> STL/GLB via OCC kernel. Best for CAD visualization workflows where exact B-Rep tessellation is needed. CAD roundtrip with STEP standard.","Use FreeCADCmd.exe (headless CLI), not FreeCAD.exe. FreeCADCmd Python API differs from GUI Python. Color from STEP is OCC-dependent and often missing."
assimp,"assimp export in.fbx out.glb -fglb2 -tri -jiv -gsn","Batch FBX/OBJ/STL->GLB conversion at speed. No DCC startup overhead (~50ms vs Blender ~3s). Inspection and format identification. Regression dump/compare.","assimp FBX exporter is experimental - use Blender for FBX OUTPUT. FBX 100x scale: CLI has no --global-scale flag; use Blender for scale-critical conversions. pyassimp CVE-2024-48423."
gltf-transform,"gltf-transform optimize in.glb out.glb --compress draco","GLB optimization for web: Draco/Meshopt, KTX2/WebP textures, prune/dedup/weld, join/instance, draw-call reduction, Khronos spec validation. The web delivery pipeline.","npm package only. Node LTS required (18/20/22). Sharp prebuilt may fail on corporate proxy - set sharp_binary_host mirror. toktx must be on PATH for etc1s/uastc commands."
gltfpack,"gltfpack.exe -i in.glb -o out.glb -cc","Single-binary, fastest for animation + Meshopt compression. -cc compresses geometry AND animation keyframes. -tc texture compression (native binary only, not npm).","npm version CANNOT compress textures (-tc flag silently fails). Must use native gltfpack-windows.zip binary from meshoptimizer releases for -tc. EXT_meshopt_compression not supported by all AR viewers."
toktx,"toktx --t2 --encode etc1s --genmipmap out.ktx2 in.png","KTX2/Basis Universal texture encoding. ETC1S for color/albedo (small file). UASTC for normal/ORM maps (high precision). Required for gltf-transform etc1s/uastc commands.","toktx.exe must be on PATH. Install from KTX-Software GitHub releases (Windows installer). Add C:\Program Files\KTX-Software\bin to PATH. --genmipmap is mandatory for mipmapped samplers."
blender_bpy_render,"scene.render.engine='CYCLES'; scene.cycles.device='CPU'; bpy.ops.render.render(write_still=True)","Headless Cycles render from within a Blender Python script. Turntable frames, UV checker render, normal map visualization, contact-sheet QA.","CYCLES only on Windows headless. Set scene.render.filepath to absolute forward-slash path before render. Verify PNG exists and size > 1 KB after render."
python_stdlib,"python script.py -- <args>","Pure-stdlib scripts: file probes, CSV search, path validation, JSON reporting, batch ops without DCC. The forge-data search scripts themselves.","Always use python not python3. Add UTF-8 stdout wrapper at script top. Open CSVs with encoding='utf-8-sig' to handle Windows BOM. Advisory scripts catch-all and exit 0."
